일시,평균기온(℃),최고기온(℃),최저기온(℃)
2017-02-08,1.9,5.3,0.4
2017-02-09,-1.4,1.9,-3.5
2017-02-10,-3.5,-1,-4.7
2017-02-11,-1.7,1.9,-5.2
2017-02-12,1.1,6.2,-1.4
2017-02-13,2.7,8.6,-3.7
2017-02-14,3.5,8.4,0
2017-02-15,4.4,13.2,-2.8
2017-02-16,8.2,15.7,-0.7
2017-02-17,5.5,11.9,-0.7
2017-02-18,0.7,5.4,-2.4
2017-02-19,5.6,12.7,-3.4
2017-02-20,3.4,12.8,-2.4
2017-02-21,3,10.8,-4.8
2017-02-22,6,7.9,3
2017-02-23,1.7,4.9,-1
2017-02-24,1.7,6.9,-2.7
2017-02-25,4.5,10.9,-0.6
2017-02-26,4.3,11,-0.6
2018-02-01,-0.1,5.3,-3.9
2018-02-02,-0.9,4.6,-5
2018-02-03,-3.4,-1.3,-5.5
2018-02-04,-5.9,-3,-8.3
2018-02-05,-5.6,-1.7,-8.5
2018-02-06,-6.5,-2.8,-9.8
2018-02-07,-4.2,1.4,-10
2018-02-08,-0.2,7.9,-7.2
2018-02-09,3.8,9.2,-1
2018-02-10,2.2,7.4,-2.3
2018-02-11,-1.9,1.3,-3.8
2018-02-12,-2.9,-0.1,-6.5
2018-02-13,1.3,6.6,-2.9
2018-02-14,5.9,14.2,-1
2018-02-15,3,8.7,-0.1
2018-02-16,2.5,8.4,-1.6
2018-02-17,1.2,6.5,-1.8
2018-02-18,3.7,9.5,-2.5
2018-02-19,6.1,11.5,2
2018-02-20,4.8,10.8,-0.8
2018-02-21,1.8,5.1,-1.1
2018-02-22,2.3,9,-3.9
2018-02-23,6.3,12.8,0.9
2018-02-24,6.6,12,1.7
2018-02-25,6.5,12.8,2.1
2018-02-26,6.3,15.7,-1.8
2019-02-01,-0.2,4.8,-3.9
2019-02-02,3.8,9.6,-2.9
2019-02-03,7.3,11.1,5.4
2019-02-04,4,8.3,0
2019-02-05,5.4,12.6,-1.4
2019-02-06,7.3,13.6,1.6
2019-02-07,2.5,6.6,-3.6
2019-02-08,-0.9,4.7,-4.4
2019-02-09,-1.1,2,-2.7
2019-02-10,-1.2,3.8,-4.9
2019-02-11,-0.1,3.9,-2.1
2019-02-12,1.5,8.1,-4.3
2019-02-13,1.9,6.8,-1.9
2019-02-14,2.3,9.2,-1.5
2019-02-15,2.5,6.3,-0.2
2019-02-16,0.3,2.9,-1.6
2019-02-17,1.1,6.7,-2.8
2019-02-18,2.6,6.3,-1.6
2019-02-19,3.9,7,0.9
2019-02-20,3.4,8.2,0.5
2019-02-21,4.2,10.9,-1.2
2019-02-22,5.4,11.4,0.9
2019-02-23,7.2,15.6,0.2
2019-02-24,8,15.4,1.7
2019-02-25,6.6,13.9,1.5
2019-02-26,6.8,13.8,0
2020-02-01,3.9,9,-1
2020-02-02,4,9.3,0.6
2020-02-03,2,6.6,-1.3
2020-02-04,2.1,8.2,-3.2
2020-02-05,-1.7,2,-5.6
2020-02-06,-2.2,3.2,-7
2020-02-07,1.1,5.6,-3.8
2020-02-08,3,6.7,0.3
2020-02-09,2.5,7.8,-1
2020-02-10,5.6,13.2,-0.2
2020-02-11,7.8,14.2,-0.3
2020-02-12,9.9,12,8.1
